Name: Pamela Walker, Employee ID: 6792, Salary Bar: *************, Above Average: No
Name: Oliver Martin, Employee ID: 2529, Salary Bar: ******************, Above Average: No
Name: Xavier Walker, Employee ID: 8417, Salary Bar: *******************, Above Average: No
Name: Oliver Thomas, Employee ID: 1395, Salary Bar: *********************, Above Average: No
Name: Hannah Garcia, Employee ID: 2185, Salary Bar: ************, Above Average: No
Name: Ian Hernandez, Employee ID: 1729, Salary Bar: *****************, Above Average: No
Name: Violet Taylor, Employee ID: 6073, Salary Bar: ******************, Above Average: No
Name: David Johnson, Employee ID: 8491, Salary Bar: **********************, Above Average: No
Name: Eva Rodriguez, Employee ID: 8543, Salary Bar: ****************, Above Average: No
Name: Kevin Johnson, Employee ID: 4232, Salary Bar: *************, Above Average: No
Name: Quincy Garcia, Employee ID: 5993, Salary Bar: **************, Above Average: No
Name: Bob Hernandez, Employee ID: 2806, Salary Bar: ***********************, Above Average: No
Name: Hannah Thomas, Employee ID: 4368, Salary Bar: ***********, Above Average: No
Name: Rachel Miller, Employee ID: 3791, Salary Bar: ***************, Above Average: No
Name: Nora Gonzalez, Employee ID: 8604, Salary Bar: *****, Above Average: No
Name: Xavier Thomas, Employee ID: 9407, Salary Bar: ************************, Above Average: No
Name: Pamela Garcia, Employee ID: 3249, Salary Bar: *************, Above Average: No
Name: Xavier Garcia, Employee ID: 6162, Salary Bar: **********, Above Average: No
Name: Alice Jackson, Employee ID: 9818, Salary Bar: ****************, Above Average: No
Name: Xavier Walker, Employee ID: 8543, Salary Bar: *******************, Above Average: No
Name: Steve Jackson, Employee ID: 3796, Salary Bar: *******, Above Average: No
Name: Yvonne Martin, Employee ID: 1683, Salary Bar: *****************, Above Average: No
Name: Rachel Martin, Employee ID: 2700, Salary Bar: *********, Above Average: No
Name: Rachel Wilson, Employee ID: 7306, Salary Bar: *********************, Above Average: No
Name: Frank Johnson, Employee ID: 7016, Salary Bar: ************************, Above Average: No
Name: Eva Rodriguez, Employee ID: 3414, Salary Bar: ******, Above Average: No
Name: Zack Martinez, Employee ID: 7025, Salary Bar: ***********, Above Average: No
Name: Quincy Martin, Employee ID: 3515, Salary Bar: **************, Above Average: No
Name: Violet Taylor, Employee ID: 3140, Salary Bar: ****************, Above Average: No
Name: Nora Robinson, Employee ID: 4160, Salary Bar: ***************, Above Average: No
Name: David Johnson, Employee ID: 8119, Salary Bar: ****************, Above Average: No
Name: Oliver Thomas, Employee ID: 2970, Salary Bar: *************, Above Average: No
Name: Nora Anderson, Employee ID: 7668, Salary Bar: ******************, Above Average: No
Name: Mike Robinson, Employee ID: 9078, Salary Bar: ****, Above Average: No
Name: Kevin Johnson, Employee ID: 2848, Salary Bar: ********************, Above Average: No
Name: Grace Jackson, Employee ID: 8694, Salary Bar: ******************, Above Average: No
Name: Xavier Garcia, Employee ID: 4120, Salary Bar: *****, Above Average: No
Name: Steve Johnson, Employee ID: 2368, Salary Bar: ********, Above Average: No
Name: William White, Employee ID: 3018, Salary Bar: ***************, Above Average: No
Name: Alice Johnson, Employee ID: 5678, Salary Bar: ***********************, Above Average: No
Name: Julia Johnson, Employee ID: 4356, Salary Bar: *******, Above Average: No
Name: Ian Rodriguez, Employee ID: 8079, Salary Bar: *******, Above Average: No
Name: Violet Miller, Employee ID: 2434, Salary Bar: ************************, Above Average: No
Name: Charlie Brown, Employee ID: 3473, Salary Bar: ***********, Above Average: No
Name: Ian Hernandez, Employee ID: 1316, Salary Bar: ****, Above Average: No
Name: Eva Hernandez, Employee ID: 4192, Salary Bar: ****************, Above Average: No
Name: Xavier Taylor, Employee ID: 3517, Salary Bar: ********************, Above Average: No
Name: Ian Rodriguez, Employee ID: 8400, Salary Bar: *************, Above Average: No
Name: Yvonne Thomas, Employee ID: 9393, Salary Bar: ***********************, Above Average: No
Name: Zack Williams, Employee ID: 5209, Salary Bar: ***********************, Above Average: No
Name: William Smith, Employee ID: 2418, Salary Bar: ***********************, Above Average: No
Name: David Johnson, Employee ID: 1914, Salary Bar: ********, Above Average: No
Name: David Johnson, Employee ID: 1123, Salary Bar: ***********************, Above Average: No
Name: Bob Hernandez, Employee ID: 1227, Salary Bar: ******, Above Average: No
Name: Umar Williams, Employee ID: 9903, Salary Bar: *******, Above Average: No
Name: Alice Jackson, Employee ID: 8782, Salary Bar: ************************, Above Average: No
Name: Eva Rodriguez, Employee ID: 3169, Salary Bar: ****************, Above Average: No
Name: Mike Gonzalez, Employee ID: 5330, Salary Bar: ***********, Above Average: No
Name: Quincy Harris, Employee ID: 4394, Salary Bar: ********************, Above Average: No
Name: Mike Williams, Employee ID: 8651, Salary Bar: **********************, Above Average: No
Name: Bob Rodriguez, Employee ID: 9419, Salary Bar: ************, Above Average: No
Name: Charlie Lopez, Employee ID: 3573, Salary Bar: *****, Above Average: No
Name: Bob Rodriguez, Employee ID: 5886, Salary Bar: ***********, Above Average: No
Name: Umar Thompson, Employee ID: 1379, Salary Bar: *****************, Above Average: No
Name: Quincy Garcia, Employee ID: 1673, Salary Bar: ************, Above Average: No
Name: Frank Jackson, Employee ID: 5596, Salary Bar: *******************, Above Average: No
Name: Xavier Walker, Employee ID: 2532, Salary Bar: ****************, Above Average: No
Name: Bob Rodriguez, Employee ID: 5700, Salary Bar: ********************, Above Average: No
Name: Frank Jackson, Employee ID: 3966, Salary Bar: **************, Above Average: No
Name: Eva Hernandez, Employee ID: 4572, Salary Bar: ***************, Above Average: No
Name: Ian Rodriguez, Employee ID: 3074, Salary Bar: **********, Above Average: No
Name: Ian Rodriguez, Employee ID: 7850, Salary Bar: *******, Above Average: No
Name: Tina Robinson, Employee ID: 3771, Salary Bar: *****, Above Average: No
Name: Nora Williams, Employee ID: 2075, Salary Bar: ********************, Above Average: No
Name: Luna Williams, Employee ID: 9694, Salary Bar: ************************, Above Average: No
Name: Julia Jackson, Employee ID: 7477, Salary Bar: ******, Above Average: No
Name: Nora Williams, Employee ID: 2372, Salary Bar: ***************, Above Average: No
Name: William Lopez, Employee ID: 8543, Salary Bar: *********************, Above Average: No
Name: Mike Thompson, Employee ID: 9050, Salary Bar: *****, Above Average: No
Name: Luna Gonzalez, Employee ID: 6550, Salary Bar: ****************, Above Average: No
Name: Pamela Garcia, Employee ID: 1257, Salary Bar: ***********************, Above Average: No
Name: Eva Hernandez, Employee ID: 7928, Salary Bar: **************, Above Average: No
Name: Violet Taylor, Employee ID: 5114, Salary Bar: ***********************, Above Average: No
Name: Xavier Garcia, Employee ID: 1535, Salary Bar: **********, Above Average: No
